Predictor, "Table Entries", "Trace File", "Total Traces", "Correct", "Correct %", "Incorrect", "Incorrect %", "Runtime (s)"
CS4202_P2::GSharePredictor, 1024, povray.out, 15004530, 13387135, 0.892206, 1617395, 0.107794, 2.140687
CS4202_P2::TwoBitPredictor, 2048, povray.out, 15024530, 14145613, 0.941501, 878917, 0.058499, 1.766473
CS4202_P2::GSharePredictor, 2048, povray.out, 15024530, 13775550, 0.916871, 1248980, 0.083129, 2.136296
CS4202_P2::TwoBitPredictor, 2048, povray.out, 15024430, 14145544, 0.941503, 878886, 0.058497, 1.766137
CS4202_P2::GSharePredictor, 2048, povray.out, 15024430, 13775495, 0.916873, 1248935, 0.083127, 2.133293
CS4202_P2::TwoBitPredictor, 2048, povray.out, 15024030, 14145166, 0.941503, 878864, 0.058497, 1.771108
CS4202_P2::GSharePredictor, 2048, povray.out, 15024030, 13775135, 0.916874, 1248895, 0.083127, 2.127590
CS4202_P2::TwoBitPredictor, 2048, povray.out, 15023530, 14144741, 0.941506, 878789, 0.058494, 1.773851
CS4202_P2::GSharePredictor, 2048, povray.out, 15023530, 13774716, 0.916876, 1248814, 0.083124, 2.128557
CS4202_P2::TwoBitPredictor, 2048, povray.out, 15022530, 14143852, 0.941509, 878678, 0.058491, 1.764683
CS4202_P2::GSharePredictor, 2048, povray.out, 15022530, 13773789, 0.916875, 1248741, 0.083125, 2.134313
CS4202_P2::TwoBitPredictor, 2048, povray.out, 15019530, 14141507, 0.941541, 878023, 0.058459, 1.764009
CS4202_P2::GSharePredictor, 2048, povray.out, 15019530, 13771646, 0.916916, 1247884, 0.083084, 2.132074
CS4202_P2::TwoBitPredictor, 2048, povray.out, 15014530, 14137233, 0.941570, 877297, 0.058430, 1.763976
CS4202_P2::GSharePredictor, 2048, povray.out, 15014530, 13767742, 0.916961, 1246788, 0.083039, 2.125888
CS4202_P2::TwoBitPredictor, 2048, povray.out, 15004530, 14127823, 0.941571, 876707, 0.058429, 1.767555
CS4202_P2::GSharePredictor, 2048, povray.out, 15004530, 13758747, 0.916973, 1245783, 0.083027, 2.127575
CS4202_P2::TwoBitPredictor, 4096, povray.out, 15024530, 14244237, 0.948065, 780293, 0.051935, 1.763286
CS4202_P2::GSharePredictor, 4096, povray.out, 15024530, 14049519, 0.935105, 975011, 0.064895, 2.127927
CS4202_P2::TwoBitPredictor, 4096, povray.out, 15024430, 14244168, 0.948067, 780262, 0.051933, 1.764206
