Predictor, "Table Entries", "Trace File", "Total Traces", "Correct", "Correct %", "Incorrect", "Incorrect %", "Runtime (s)"
CS4202_P2::GSharePredictor, 512, wrf.out, 14478676, 14098314, 0.973729, 380362, 0.026270, 1.897165
CS4202_P2::TwoBitPredictor, 512, wrf.out, 14468676, 14187733, 0.980583, 280943, 0.019417, 1.571287
CS4202_P2::GSharePredictor, 512, wrf.out, 14468676, 14089865, 0.973819, 378811, 0.026181, 1.892199
CS4202_P2::TwoBitPredictor, 1024, wrf.out, 14488676, 14243667, 0.983090, 245009, 0.016910, 1.567104
CS4202_P2::GSharePredictor, 1024, wrf.out, 14488676, 14172271, 0.978162, 316405, 0.021838, 1.902272
CS4202_P2::TwoBitPredictor, 1024, wrf.out, 14488576, 14243598, 0.983092, 244978, 0.016908, 1.566585
CS4202_P2::GSharePredictor, 1024, wrf.out, 14488576, 14172214, 0.978165, 316362, 0.021835, 1.893466
CS4202_P2::TwoBitPredictor, 1024, wrf.out, 14488176, 14243219, 0.983093, 244957, 0.016907, 1.568820
CS4202_P2::GSharePredictor, 1024, wrf.out, 14488176, 14171850, 0.978167, 316326, 0.021833, 1.898049
CS4202_P2::TwoBitPredictor, 1024, wrf.out, 14487676, 14242794, 0.983097, 244882, 0.016903, 1.566514
CS4202_P2::GSharePredictor, 1024, wrf.out, 14487676, 14171424, 0.978171, 316252, 0.021829, 1.894581
CS4202_P2::TwoBitPredictor, 1024, wrf.out, 14486676, 14241897, 0.983103, 244779, 0.016897, 1.565209
CS4202_P2::GSharePredictor, 1024, wrf.out, 14486676, 14170493, 0.978174, 316183, 0.021826, 1.900842
CS4202_P2::TwoBitPredictor, 1024, wrf.out, 14483676, 14239581, 0.983147, 244095, 0.016853, 1.561289
CS4202_P2::GSharePredictor, 1024, wrf.out, 14483676, 14168409, 0.978233, 315267, 0.021767, 1.893738
CS4202_P2::TwoBitPredictor, 1024, wrf.out, 14478676, 14235355, 0.983195, 243321, 0.016805, 1.571492
CS4202_P2::GSharePredictor, 1024, wrf.out, 14478676, 14164615, 0.978309, 314061, 0.021691, 1.941998
CS4202_P2::TwoBitPredictor, 1024, wrf.out, 14468676, 14226170, 0.983239, 242506, 0.016761, 1.569701
CS4202_P2::GSharePredictor, 1024, wrf.out, 14468676, 14156017, 0.978391, 312659, 0.021609, 1.900208
CS4202_P2::TwoBitPredictor, 2048, wrf.out, 14488676, 14258771, 0.984132, 229905, 0.015868, 1.559613
CS4202_P2::GSharePredictor, 2048, wrf.out, 14488676, 14218182, 0.981331, 270494, 0.018669, 1.892904
CS4202_P2::TwoBitPredictor, 2048, wrf.out, 14488576, 14258702, 0.984134, 229874, 0.015866, 1.572324
CS4202_P2::GSharePredictor, 2048, wrf.out, 14488576, 14218127, 0.981334, 270449, 0.018666, 1.898375
CS4202_P2::TwoBitPredictor, 2048, wrf.out, 14488176, 14258324, 0.984135, 229852, 0.015865, 1.564915
CS4202_P2::GSharePredictor, 2048, wrf.out, 14488176, 14217767, 0.981336, 270409, 0.018664, 1.897061
CS4202_P2::TwoBitPredictor, 2048, wrf.out, 14487676, 14257899, 0.984140, 229777, 0.015860, 1.561958
CS4202_P2::GSharePredictor, 2048, wrf.out, 14487676, 14217348, 0.981341, 270328, 0.018659, 1.893507
CS4202_P2::TwoBitPredictor, 2048, wrf.out, 14486676, 14257002, 0.984146, 229674, 0.015854, 1.559489
CS4202_P2::GSharePredictor, 2048, wrf.out, 14486676, 14216417, 0.981344, 270259, 0.018656, 1.894829
CS4202_P2::TwoBitPredictor, 2048, wrf.out, 14483676, 14254668, 0.984189, 229008, 0.015811, 1.564938
CS4202_P2::GSharePredictor, 2048, wrf.out, 14483676, 14214281, 0.981400, 269395, 0.018600, 1.898242
CS4202_P2::TwoBitPredictor, 2048, wrf.out, 14478676, 14250396, 0.984233, 228280, 0.015767, 1.565447
CS4202_P2::GSharePredictor, 2048, wrf.out, 14478676, 14210349, 0.981467, 268327, 0.018533, 1.899399
CS4202_P2::TwoBitPredictor, 2048, wrf.out, 14468676, 14241199, 0.984278, 227477, 0.015722, 1.572572
CS4202_P2::GSharePredictor, 2048, wrf.out, 14468676, 14201714, 0.981549, 266962, 0.018451, 1.893217
CS4202_P2::TwoBitPredictor, 4096, wrf.out, 14488676, 14307943, 0.987526, 180733, 0.012474, 1.565266
CS4202_P2::GSharePredictor, 4096, wrf.out, 14488676, 14236450, 0.982592, 252226, 0.017408, 1.894672
CS4202_P2::TwoBitPredictor, 4096, wrf.out, 14488576, 14307874, 0.987528, 180702, 0.012472, 1.561558
CS4202_P2::GSharePredictor, 4096, wrf.out, 14488576, 14236396, 0.982595, 252180, 0.017405, 1.901072
CS4202_P2::TwoBitPredictor, 4096, wrf.out, 14488176, 14307496, 0.987529, 180680, 0.012471, 1.564393
CS4202_P2::GSharePredictor, 4096, wrf.out, 14488176, 14236037, 0.982597, 252139, 0.017403, 1.894287
CS4202_P2::TwoBitPredictor, 4096, wrf.out, 14487676, 14307071, 0.987534, 180605, 0.012466, 1.570291
CS4202_P2::GSharePredictor, 4096, wrf.out, 14487676, 14235627, 0.982603, 252049, 0.017397, 1.891490
CS4202_P2::TwoBitPredictor, 4096, wrf.out, 14486676, 14306174, 0.987540, 180502, 0.012460, 1.563457
CS4202_P2::GSharePredictor, 4096, wrf.out, 14486676, 14234713, 0.982607, 251963, 0.017393, 1.900552
CS4202_P2::TwoBitPredictor, 4096, wrf.out, 14483676, 14303839, 0.987583, 179837, 0.012417, 1.563801
CS4202_P2::GSharePredictor, 4096, wrf.out, 14483676, 14232594, 0.982664, 251082, 0.017336, 1.890642
CS4202_P2::TwoBitPredictor, 4096, wrf.out, 14478676, 14299492, 0.987624, 179184, 0.012376, 1.568473
CS4202_P2::GSharePredictor, 4096, wrf.out, 14478676, 14228510, 0.982722, 250166, 0.017278, 1.889858
CS4202_P2::TwoBitPredictor, 4096, wrf.out, 14468676, 14290271, 0.987670, 178405, 0.012330, 1.560168
CS4202_P2::GSharePredictor, 4096, wrf.out, 14468676, 14219789, 0.982798, 248887, 0.017202, 1.901706
CS4202_P2::AlwaysTruePredictor, "", xz.out, 15291703, 10007088, 0.654413, 5284615, 0.345587, 1.286336
CS4202_P2::TwoBitPredictor, 512, xz.out, 15291703, 13206384, 0.863631, 2085319, 0.136369, 1.814536
CS4202_P2::GSharePredictor, 512, xz.out, 15291703, 12143981, 0.794155, 3147722, 0.205845, 2.210271
CS4202_P2::TwoBitPredictor, 512, xz.out, 15291603, 13206315, 0.863632, 2085288, 0.136368, 1.814896
CS4202_P2::GSharePredictor, 512, xz.out, 15291603, 12143921, 0.794156, 3147682, 0.205844, 2.213623
CS4202_P2::TwoBitPredictor, 512, xz.out, 15291203, 13205937, 0.863630, 2085266, 0.136370, 1.812675
CS4202_P2::GSharePredictor, 512, xz.out, 15291203, 12143556, 0.794153, 3147647, 0.205847, 2.204332
CS4202_P2::TwoBitPredictor, 512, xz.out, 15290703, 13205515, 0.863630, 2085188, 0.136370, 1.818535
CS4202_P2::GSharePredictor, 512, xz.out, 15290703, 12143133, 0.794151, 3147570, 0.205849, 2.195213
CS4202_P2::TwoBitPredictor, 512, xz.out, 15289703, 13204618, 0.863628, 2085085, 0.136372, 1.822107
CS4202_P2::GSharePredictor, 512, xz.out, 15289703, 12142207, 0.794143, 3147496, 0.205857, 2.204459
CS4202_P2::TwoBitPredictor, 512, xz.out, 15286703, 13202373, 0.863651, 2084330, 0.136349, 1.813195
CS4202_P2::GSharePredictor, 512, xz.out, 15286703, 12140175, 0.794166, 3146528, 0.205834, 2.213547
CS4202_P2::TwoBitPredictor, 512, xz.out, 15281703, 13197772, 0.863632, 2083931, 0.136368, 1.813745
CS4202_P2::GSharePredictor, 512, xz.out, 15281703, 12135766, 0.794137, 3145937, 0.205863, 2.211388
CS4202_P2::TwoBitPredictor, 512, xz.out, 15271703, 13188585, 0.863596, 2083118, 0.136404, 1.811504
CS4202_P2::GSharePredictor, 512, xz.out, 15271703, 12126965, 0.794081, 3144738, 0.205919, 2.207653
CS4202_P2::TwoBitPredictor, 1024, xz.out, 15291703, 13362425, 0.873835, 1929278, 0.126165, 1.814855
CS4202_P2::GSharePredictor, 1024, xz.out, 15291703, 12375602, 0.809302, 2916101, 0.190698, 2.200728
CS4202_P2::TwoBitPredictor, 1024, xz.out, 15291603, 13362356, 0.873836, 1929247, 0.126164, 1.816344
CS4202_P2::GSharePredictor, 1024, xz.out, 15291603, 12375545, 0.809303, 2916058, 0.190697, 2.201127
CS4202_P2::TwoBitPredictor, 1024, xz.out, 15291203, 13361977, 0.873834, 1929226, 0.126166, 1.808947
CS4202_P2::GSharePredictor, 1024, xz.out, 15291203, 12375181, 0.809301, 2916022, 0.190699, 2.205123
CS4202_P2::TwoBitPredictor, 1024, xz.out, 15290703, 13361552, 0.873835, 1929151, 0.126165, 1.802816
CS4202_P2::GSharePredictor, 1024, xz.out, 15290703, 12374755, 0.809299, 2915948, 0.190701, 2.207560
CS4202_P2::TwoBitPredictor, 1024, xz.out, 15289703, 13360655, 0.873834, 1929048, 0.126166, 1.807541
CS4202_P2::GSharePredictor, 1024, xz.out, 15289703, 12373824, 0.809291, 2915879, 0.190709, 2.202925
CS4202_P2::TwoBitPredictor, 1024, xz.out, 15286703, 13358371, 0.873856, 1928332, 0.126144, 1.816865
CS4202_P2::GSharePredictor, 1024, xz.out, 15286703, 12371788, 0.809317, 2914915, 0.190683, 2.198901
CS4202_P2::TwoBitPredictor, 1024, xz.out, 15281703, 13353751, 0.873839, 1927952, 0.126161, 1.817209
CS4202_P2::GSharePredictor, 1024, xz.out, 15281703, 12367415, 0.809296, 2914288, 0.190704, 2.202965
CS4202_P2::TwoBitPredictor, 1024, xz.out, 15271703, 13344361, 0.873797, 1927342, 0.126203, 1.806912
CS4202_P2::GSharePredictor, 1024, xz.out, 15271703, 12358429, 0.809237, 2913274, 0.190763, 2.205181
CS4202_P2::TwoBitPredictor, 2048, xz.out, 15291703, 13403867, 0.876545, 1887836, 0.123455, 1.808242
CS4202_P2::GSharePredictor, 2048, xz.out, 15291703, 12557840, 0.821219, 2733863, 0.178781, 2.203102
CS4202_P2::TwoBitPredictor, 2048, xz.out, 15291603, 13403798, 0.876546, 1887805, 0.123454, 1.807932
CS4202_P2::GSharePredictor, 2048, xz.out, 15291603, 12557785, 0.821221, 2733818, 0.178779, 2.203558
CS4202_P2::TwoBitPredictor, 2048, xz.out, 15291203, 13403420, 0.876545, 1887783, 0.123455, 1.810453
CS4202_P2::GSharePredictor, 2048, xz.out, 15291203, 12557425, 0.821219, 2733778, 0.178781, 2.193997
CS4202_P2::TwoBitPredictor, 2048, xz.out, 15290703, 13402995, 0.876545, 1887708, 0.123455, 1.814986
CS4202_P2::GSharePredictor, 2048, xz.out, 15290703, 12557006, 0.821218, 2733697, 0.178782, 2.197168
CS4202_P2::TwoBitPredictor, 2048, xz.out, 15289703, 13402098, 0.876544, 1887605, 0.123456, 1.819633
CS4202_P2::GSharePredictor, 2048, xz.out, 15289703, 12556075, 0.821211, 2733628, 0.178789, 2.202485
CS4202_P2::TwoBitPredictor, 2048, xz.out, 15286703, 13399795, 0.876565, 1886908, 0.123435, 1.808911
CS4202_P2::GSharePredictor, 2048, xz.out, 15286703, 12553984, 0.821236, 2732719, 0.178764, 2.203046
CS4202_P2::TwoBitPredictor, 2048, xz.out, 15281703, 13395173, 0.876550, 1886530, 0.123450, 1.809301
CS4202_P2::GSharePredictor, 2048, xz.out, 15281703, 12549585, 0.821216, 2732118, 0.178784, 2.202239
CS4202_P2::TwoBitPredictor, 2048, xz.out, 15271703, 13385783, 0.876509, 1885920, 0.123491, 1.807178
CS4202_P2::GSharePredictor, 2048, xz.out, 15271703, 12540543, 0.821162, 2731160, 0.178838, 2.198073
CS4202_P2::TwoBitPredictor, 4096, xz.out, 15291703, 13408113, 0.876823, 1883590, 0.123177, 1.810139
CS4202_P2::GSharePredictor, 4096, xz.out, 15291703, 12757376, 0.834268, 2534327, 0.165732, 2.193383
CS4202_P2::TwoBitPredictor, 4096, xz.out, 15291603, 13408044, 0.876824, 1883559, 0.123176, 1.805430
CS4202_P2::GSharePredictor, 4096, xz.out, 15291603, 12757322, 0.834270, 2534281, 0.165730, 2.194615
CS4202_P2::TwoBitPredictor, 4096, xz.out, 15291203, 13407666, 0.876822, 1883537, 0.123178, 1.803721
CS4202_P2::GSharePredictor, 4096, xz.out, 15291203, 12756963, 0.834268, 2534240, 0.165732, 2.223942
CS4202_P2::TwoBitPredictor, 4096, xz.out, 15290703, 13407241, 0.876823, 1883462, 0.123177, 1.809853
CS4202_P2::GSharePredictor, 4096, xz.out, 15290703, 12756553, 0.834269, 2534150, 0.165731, 2.199402
CS4202_P2::TwoBitPredictor, 4096, xz.out, 15289703, 13406344, 0.876822, 1883359, 0.123178, 1.810227
CS4202_P2::GSharePredictor, 4096, xz.out, 15289703, 12755639, 0.834263, 2534064, 0.165737, 2.191118
CS4202_P2::TwoBitPredictor, 4096, xz.out, 15286703, 13404037, 0.876843, 1882666, 0.123157, 1.816733
CS4202_P2::GSharePredictor, 4096, xz.out, 15286703, 12753566, 0.834291, 2533137, 0.165709, 2.189907
CS4202_P2::TwoBitPredictor, 4096, xz.out, 15281703, 13399395, 0.876826, 1882308, 0.123174, 1.818035
CS4202_P2::GSharePredictor, 4096, xz.out, 15281703, 12749168, 0.834277, 2532535, 0.165723, 2.191737
CS4202_P2::TwoBitPredictor, 4096, xz.out, 15271703, 13389990, 0.876784, 1881713, 0.123216, 1.807319
CS4202_P2::GSharePredictor, 4096, xz.out, 15271703, 12740050, 0.834226, 2531653, 0.165774, 2.194936
